name,relative_path,absolute_path,is_dir,is_file,size_bytes,line_count
3171.n.txt,3171.n.txt,data/daily/pl/funds balanced\3171.n.txt,False,True,297852,4922
3197.n.txt,3197.n.txt,data/daily/pl/funds balanced\3197.n.txt,False,True,276946,4579
3200.n.txt,3200.n.txt,data/daily/pl/funds balanced\3200.n.txt,False,True,348198,6053
3262.n.txt,3262.n.txt,data/daily/pl/funds balanced\3262.n.txt,False,True,423294,7431
3308.n.txt,3308.n.txt,data/daily/pl/funds balanced\3308.n.txt,False,True,231994,4039
3309.n.txt,3309.n.txt,data/daily/pl/funds balanced\3309.n.txt,False,True,263978,4607
3340.n.txt,3340.n.txt,data/daily/pl/funds balanced\3340.n.txt,False,True,380522,6623
3353.n.txt,3353.n.txt,data/daily/pl/funds balanced\3353.n.txt,False,True,249244,4676
3370.n.txt,3370.n.txt,data/daily/pl/funds balanced\3370.n.txt,False,True,444730,7867
3391.n.txt,3391.n.txt,data/daily/pl/funds balanced\3391.n.txt,False,True,261768,4890
3392.n.txt,3392.n.txt,data/daily/pl/funds balanced\3392.n.txt,False,True,257172,4890
3439.n.txt,3439.n.txt,data/daily/pl/funds balanced\3439.n.txt,False,True,348198,6053
3453.n.txt,3453.n.txt,data/daily/pl/funds balanced\3453.n.txt,False,True,259212,4894
3470.n.txt,3470.n.txt,data/daily/pl/funds balanced\3470.n.txt,False,True,393274,6841
3663.n.txt,3663.n.txt,data/daily/pl/funds balanced\3663.n.txt,False,True,201104,3820
3665.n.txt,3665.n.txt,data/daily/pl/funds balanced\3665.n.txt,False,True,189264,3820
3689.n.txt,3689.n.txt,data/daily/pl/funds balanced\3689.n.txt,False,True,203192,3218
3690.n.txt,3690.n.txt,data/daily/pl/funds balanced\3690.n.txt,False,True,201424,3218
3691.n.txt,3691.n.txt,data/daily/pl/funds balanced\3691.n.txt,False,True,203160,3218
3692.n.txt,3692.n.txt,data/daily/pl/funds balanced\3692.n.txt,False,True,198100,3218
3741.n.txt,3741.n.txt,data/daily/pl/funds balanced\3741.n.txt,False,True,203476,3220
3884.n.txt,3884.n.txt,data/daily/pl/funds balanced\3884.n.txt,False,True,380374,6613
3920.n.txt,3920.n.txt,data/daily/pl/funds balanced\3920.n.txt,False,True,268736,5024
3921.n.txt,3921.n.txt,data/daily/pl/funds balanced\3921.n.txt,False,True,340146,6355
3962.n.txt,3962.n.txt,data/daily/pl/funds balanced\3962.n.txt,False,True,423294,7431
3981.n.txt,3981.n.txt,data/daily/pl/funds balanced\3981.n.txt,False,True,361582,6777
4000.n.txt,4000.n.txt,data/daily/pl/funds balanced\4000.n.txt,False,True,191210,3323
4029.n.txt,4029.n.txt,data/daily/pl/funds balanced\4029.n.txt,False,True,183424,3218
4045.n.txt,4045.n.txt,data/daily/pl/funds balanced\4045.n.txt,False,True,263400,4918
4075.n.txt,4075.n.txt,data/daily/pl/funds balanced\4075.n.txt,False,True,233548,4366
4076.n.txt,4076.n.txt,data/daily/pl/funds balanced\4076.n.txt,False,True,268870,5025
4116.n.txt,4116.n.txt,data/daily/pl/funds balanced\4116.n.txt,False,True,336452,5848
4138.n.txt,4138.n.txt,data/daily/pl/funds balanced\4138.n.txt,False,True,201104,3820
4173.n.txt,4173.n.txt,data/daily/pl/funds balanced\4173.n.txt,False,True,345638,6011
4181.n.txt,4181.n.txt,data/daily/pl/funds balanced\4181.n.txt,False,True,250592,4358
4182.n.txt,4182.n.txt,data/daily/pl/funds balanced\4182.n.txt,False,True,191614,3331
4192.n.txt,4192.n.txt,data/daily/pl/funds balanced\4192.n.txt,False,True,191362,3331
4208.n.txt,4208.n.txt,data/daily/pl/funds balanced\4208.n.txt,False,True,308252,5360
4213.n.txt,4213.n.txt,data/daily/pl/funds balanced\4213.n.txt,False,True,231994,4039
4214.n.txt,4214.n.txt,data/daily/pl/funds balanced\4214.n.txt,False,True,254496,4442
4256.n.txt,4256.n.txt,data/daily/pl/funds balanced\4256.n.txt,False,True,185178,3753
4320.n.txt,4320.n.txt,data/daily/pl/funds balanced\4320.n.txt,False,True,159192,2976
4321.n.txt,4321.n.txt,data/daily/pl/funds balanced\4321.n.txt,False,True,159084,2976
4336.n.txt,4336.n.txt,data/daily/pl/funds balanced\4336.n.txt,False,True,308714,5365
4342.n.txt,4342.n.txt,data/daily/pl/funds balanced\4342.n.txt,False,True,191578,3331
4358.n.txt,4358.n.txt,data/daily/pl/funds balanced\4358.n.txt,False,True,185230,3235
4375.n.txt,4375.n.txt,data/daily/pl/funds balanced\4375.n.txt,False,True,437386,7185
4376.n.txt,4376.n.txt,data/daily/pl/funds balanced\4376.n.txt,False,True,435422,7185
4382.n.txt,4382.n.txt,data/daily/pl/funds balanced\4382.n.txt,False,True,272440,4776
4400.n.txt,4400.n.txt,data/daily/pl/funds balanced\4400.n.txt,False,True,380258,6611
4418.n.txt,4418.n.txt,data/daily/pl/funds balanced\4418.n.txt,False,True,393216,6840
4441.n.txt,4441.n.txt,data/daily/pl/funds balanced\4441.n.txt,False,True,231936,4038
4442.n.txt,4442.n.txt,data/daily/pl/funds balanced\4442.n.txt,False,True,263920,4606
4495.n.txt,4495.n.txt,data/daily/pl/funds balanced\4495.n.txt,False,True,306784,5020
4517.n.txt,4517.n.txt,data/daily/pl/funds balanced\4517.n.txt,False,True,423236,7430
4527.n.txt,4527.n.txt,data/daily/pl/funds balanced\4527.n.txt,False,True,216086,4377
4532.n.txt,4532.n.txt,data/daily/pl/funds balanced\4532.n.txt,False,True,284540,4946
4557.n.txt,4557.n.txt,data/daily/pl/funds balanced\4557.n.txt,False,True,362068,6786
4566.n.txt,4566.n.txt,data/daily/pl/funds balanced\4566.n.txt,False,True,380660,6618
4572.n.txt,4572.n.txt,data/daily/pl/funds balanced\4572.n.txt,False,True,229828,4300
4587.n.txt,4587.n.txt,data/daily/pl/funds balanced\4587.n.txt,False,True,393788,6850
4596.n.txt,4596.n.txt,data/daily/pl/funds balanced\4596.n.txt,False,True,237898,4135
4604.n.txt,4604.n.txt,data/daily/pl/funds balanced\4604.n.txt,False,True,209526,3665
4613.n.txt,4613.n.txt,data/daily/pl/funds balanced\4613.n.txt,False,True,231994,4039
4614.n.txt,4614.n.txt,data/daily/pl/funds balanced\4614.n.txt,False,True,264372,4614
4635.n.txt,4635.n.txt,data/daily/pl/funds balanced\4635.n.txt,False,True,250158,4693
4678.n.txt,4678.n.txt,data/daily/pl/funds balanced\4678.n.txt,False,True,423750,7439
4699.n.txt,4699.n.txt,data/daily/pl/funds balanced\4699.n.txt,False,True,263978,4607
4727.n.txt,4727.n.txt,data/daily/pl/funds balanced\4727.n.txt,False,True,362970,6803
4730.n.txt,4730.n.txt,data/daily/pl/funds balanced\4730.n.txt,False,True,381360,6630
4758.n.txt,4758.n.txt,data/daily/pl/funds balanced\4758.n.txt,False,True,272440,4776
4762.n.txt,4762.n.txt,data/daily/pl/funds balanced\4762.n.txt,False,True,280578,4885
4769.n.txt,4769.n.txt,data/daily/pl/funds balanced\4769.n.txt,False,True,380374,6613
4773.n.txt,4773.n.txt,data/daily/pl/funds balanced\4773.n.txt,False,True,393274,6841
4780.n.txt,4780.n.txt,data/daily/pl/funds balanced\4780.n.txt,False,True,263978,4607
4797.n.txt,4797.n.txt,data/daily/pl/funds balanced\4797.n.txt,False,True,423294,7431
4805.n.txt,4805.n.txt,data/daily/pl/funds balanced\4805.n.txt,False,True,403494,7109
4824.n.txt,4824.n.txt,data/daily/pl/funds balanced\4824.n.txt,False,True,586602,9965
4852.n.txt,4852.n.txt,data/daily/pl/funds balanced\4852.n.txt,False,True,568306,9965
4855.n.txt,4855.n.txt,data/daily/pl/funds balanced\4855.n.txt,False,True,192446,3595
4860.n.txt,4860.n.txt,data/daily/pl/funds balanced\4860.n.txt,False,True,235650,4551
4976.n.txt,4976.n.txt,data/daily/pl/funds balanced\4976.n.txt,False,True,209526,3665
4983.n.txt,4983.n.txt,data/daily/pl/funds balanced\4983.n.txt,False,True,272440,4776
5005.n.txt,5005.n.txt,data/daily/pl/funds balanced\5005.n.txt,False,True,192276,3594
5013.n.txt,5013.n.txt,data/daily/pl/funds balanced\5013.n.txt,False,True,380374,6613
5030.n.txt,5030.n.txt,data/daily/pl/funds balanced\5030.n.txt,False,True,393274,6841
5038.n.txt,5038.n.txt,data/daily/pl/funds balanced\5038.n.txt,False,True,216316,3762
5039.n.txt,5039.n.txt,data/daily/pl/funds balanced\5039.n.txt,False,True,423294,7431
5057.n.txt,5057.n.txt,data/daily/pl/funds balanced\5057.n.txt,False,True,380522,6623
5059.n.txt,5059.n.txt,data/daily/pl/funds balanced\5059.n.txt,False,True,231994,4039
5060.n.txt,5060.n.txt,data/daily/pl/funds balanced\5060.n.txt,False,True,263978,4607
5107.n.txt,5107.n.txt,data/daily/pl/funds balanced\5107.n.txt,False,True,423294,7431
5118.n.txt,5118.n.txt,data/daily/pl/funds balanced\5118.n.txt,False,True,263978,4607
5120.n.txt,5120.n.txt,data/daily/pl/funds balanced\5120.n.txt,False,True,398016,7432
5148.n.txt,5148.n.txt,data/daily/pl/funds balanced\5148.n.txt,False,True,320422,5209
5157.n.txt,5157.n.txt,data/daily/pl/funds balanced\5157.n.txt,False,True,240434,4489
5170.n.txt,5170.n.txt,data/daily/pl/funds balanced\5170.n.txt,False,True,258574,4495
5182.n.txt,5182.n.txt,data/daily/pl/funds balanced\5182.n.txt,False,True,285428,4692
5191.n.txt,5191.n.txt,data/daily/pl/funds balanced\5191.n.txt,False,True,393274,6841
5200.n.txt,5200.n.txt,data/daily/pl/funds balanced\5200.n.txt,False,True,366244,6840
5201.n.txt,5201.n.txt,data/daily/pl/funds balanced\5201.n.txt,False,True,320566,5573
5202.n.txt,5202.n.txt,data/daily/pl/funds balanced\5202.n.txt,False,True,334860,5878
5203.n.txt,5203.n.txt,data/daily/pl/funds balanced\5203.n.txt,False,True,388522,6781
5205.n.txt,5205.n.txt,data/daily/pl/funds balanced\5205.n.txt,False,True,405458,6737
5206.n.txt,5206.n.txt,data/daily/pl/funds balanced\5206.n.txt,False,True,277490,4505
5217.n.txt,5217.n.txt,data/daily/pl/funds balanced\5217.n.txt,False,True,244174,4263
